"","HGNC","HGNCGeneName","GeneID","Chromosome","StartBP","EndBP","WidthBP","CanonicalTranscript","ProteinTranscript","SYMBOL","chromosome_name","LowExpressionFlag"
"GeneID:100316904","SAP25","Sin3A-associated protein, 25kDa","GeneID:100316904","7",100572228,100573647,1420,"NM_001168682","NP_001162153","SAP25","7",TRUE
"GeneID:55128","TRIM68","tripartite motif containing 68","GeneID:55128","11",4598672,4608259,9588,"NM_018073","NP_060543","TRIM68","11",TRUE
"GeneID:100874195","DIAPH3-AS1","DIAPH3 antisense RNA 1","GeneID:100874195","13",60012718,60044357,31640,"NR_109838","","DIAPH3-AS1","13",TRUE
"GeneID:8685","MARCO","macrophage receptor with collagenous structure","GeneID:8685","2",118942169,118994660,52492,"NM_006770","NP_006761","MARCO","2",TRUE
"GeneID:101927044","LOC101927044","uncharacterized LOC101927044","GeneID:101927044","18",3236441,3246501,10061,"XR_243817","","LOC101927044","18",TRUE
"GeneID:102466738","MIR6798","microRNA 6798","GeneID:102466738","19",49009906,49009972,67,"NR_106856","","MIR6798","19",TRUE
"GeneID:8295","TRRAP","transformation/transcription domain-associated protein","GeneID:8295","7",98878490,99013243,134754,"NM_001244580","NP_001231509","TRRAP","7",TRUE
"GeneID:85456","TNKS1BP1","tankyrase 1 binding protein 1, 182kDa","GeneID:85456","11",57299629,57324939,25311,"NM_033396","NP_203754","TNKS1BP1","11",FALSE
"GeneID:102725169","LOC102725169","uncharacterized LOC102725169","GeneID:102725169","9",125596659,125596737,79,"XR_431165","","LOC102725169",NA,FALSE
"GeneID:101927105","LOC101927105","uncharacterized LOC101927105","GeneID:101927105","7",76117661,76134248,16588,"XR_428207","","LOC101927105",NA,TRUE
"GeneID:643355","LOC643355","uncharacterized LOC643355","GeneID:643355","1",111990568,111998842,8275,"NM_001270945","NP_001257874","LOC643355","1",TRUE
"GeneID:56931","DUS3L","dihydrouridine synthase 3-like (S. cerevisiae)","GeneID:56931","19",5785140,5791238,6099,"NM_020175","NP_064560","DUS3L","19",TRUE
"GeneID:8354","HIST1H3I","histone cluster 1, H3i","GeneID:8354","6",27871845,27872321,477,"NM_003533","NP_003524","HIST1H3I","6",FALSE
"GeneID:9717","SEC14L5","SEC14-like 5 (S. cerevisiae)","GeneID:9717","16",4958317,5019155,60839,"NM_014692","NP_055507","SEC14L5","16",FALSE
"GeneID:85016","C11orf70","chromosome 11 open reading frame 70","GeneID:85016","11",102047438,102084560,37123,"NM_032930","NP_116319","C11orf70","11",TRUE
"GeneID:26222","DGCR10","DiGeorge syndrome critical region gene 10 (non-protein coding)","GeneID:26222","22",19022624,19023550,927,"NR_026651","","DGCR10","22",TRUE
"GeneID:102725324","LOC102725324","uncharacterized LOC102725324","GeneID:102725324","7",150283431,150284268,838,"XR_426271","","LOC102725324",NA,TRUE
"GeneID:102724216","LOC102724216","uncharacterized LOC102724216","GeneID:102724216","9",33731171,33733143,1973,"XR_428451","","LOC102724216","9",TRUE
"GeneID:27333","GOLIM4","golgi integral membrane protein 4","GeneID:27333","3",168009866,168095629,85764,"NM_014498","NP_055313","GOLIM4","3",FALSE
"GeneID:26999","CYFIP2","cytoplasmic FMR1 interacting protein 2","GeneID:26999","5",157266081,157395598,129518,"NM_001037333","NP_001032410","CYFIP2","5",TRUE
"GeneID:11212","PROSC","proline synthetase co-transcribed homolog (bacterial)","GeneID:11212","8",37762583,37779768,17186,"NM_007198","NP_009129","PROSC","8",TRUE
"GeneID:9024","BRSK2","BR serine/threonine kinase 2","GeneID:9024","11",1389899,1462689,72791,"NM_001256627","NP_001243556","BRSK2","11",TRUE
"GeneID:4359","MPZ","myelin protein zero","GeneID:4359","1",161304735,161309972,5238,"NM_000530","NP_000521","MPZ","1",TRUE
"GeneID:101927249","PDZRN3-AS1","PDZRN3 antisense RNA 1","GeneID:101927249","3",73623508,73627895,4388,"XR_245071","","PDZRN3-AS1","3",TRUE
"GeneID:2055","CLN8","ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","GeneID:2055","8",1763704,1786570,22867,"NM_018941","NP_061764","CLN8","8",FALSE
"GeneID:8325","FZD8","frizzled class receptor 8","GeneID:8325","10",35638249,35641434,3186,"NM_031866","NP_114072","FZD8","10",FALSE
"GeneID:253982","ASPHD1","aspartate beta-hydroxylase domain containing 1","GeneID:253982","16",29900826,29906056,5231,"NM_181718","NP_859069","ASPHD1","16",FALSE
"GeneID:81544","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5","GeneID:81544","11",75434640,75525554,90915,"NM_030792","NP_110419","GDPD5","11",FALSE
"GeneID:390067","OR52H1","olfactory receptor, family 52, subfamily H, member 1","GeneID:390067","11",5544561,5545523,963,"NM_001005289","NP_001005289","OR52H1","11",TRUE
"GeneID:4261","CIITA","class II, major histocompatibility complex, transactivator","GeneID:4261","16",10877198,10924983,47786,"NM_001286402","NP_001273331","CIITA","16",TRUE
"GeneID:7472","WNT2","wingless-type MMTV integration site family member 2","GeneID:7472","7",117276631,117323289,46659,"NM_003391","NP_003382","WNT2","7",TRUE
"GeneID:27299","ADAMDEC1","ADAM-like, decysin 1","GeneID:27299","8",24384285,24406013,21729,"NM_014479","NP_055294","ADAMDEC1","8",TRUE
"GeneID:9383","TSIX","TSIX transcript, XIST antisense RNA","GeneID:9383","X",73792205,73829231,37027,"NR_003255","","TSIX","X",TRUE
"GeneID:113730","KLHDC7B","kelch domain containing 7B","GeneID:113730","22",50548033,50551023,2991,"NM_138433","NP_612442","KLHDC7B","22",TRUE
"GeneID:25984","KRT23","keratin 23 (histone deacetylase inducible)","GeneID:25984","17",40922696,40937643,14948,"NM_015515","NP_056330","KRT23","17",FALSE
"GeneID:134265","AFAP1L1","actin filament associated protein 1-like 1","GeneID:134265","5",149271838,149341805,69968,"NM_152406","NP_689619","AFAP1L1","5",FALSE
"GeneID:4141","MARS","methionyl-tRNA synthetase","GeneID:4141","12",57487953,57516655,28703,"NM_004990","NP_004981","MARS","12",FALSE
"GeneID:56651","LINC00470","long intergenic non-protein coding RNA 470","GeneID:56651","18",1268311,1359629,91319,"NR_023925","","LINC00470","18",TRUE
"GeneID:345456","PFN3","profilin 3","GeneID:345456","5",177400107,177400636,530,"NM_001029886","NP_001025057","PFN3","5",FALSE
"GeneID:932","MS4A3","membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)","GeneID:932","11",60056628,60071115,14488,"NM_006138","NP_006129","MS4A3","11",FALSE
"GeneID:3690","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","GeneID:3690","17",47253842,47312711,58870,"NM_000212","NP_000203","ITGB3","17",TRUE
"GeneID:22848","AAK1","AP2 associated kinase 1","GeneID:22848","2",69457995,69643845,185851,"NM_014911","NP_055726","AAK1","2",FALSE
"GeneID:102723454","LOC102723454","uncharacterized LOC102723454","GeneID:102723454","1",17507525,17519360,11836,"XR_426667","","LOC102723454",NA,FALSE
"GeneID:100616330","MIR4491","microRNA 4491","GeneID:100616330","11",111347757,111347824,68,"NR_039712","","MIR4491","11",TRUE
"GeneID:7171","TPM4","tropomyosin 4","GeneID:7171","19",16067507,16103003,35497,"NM_001145160","NP_001138632","TPM4","19",TRUE
"GeneID:102723659","LOC102723659","uncharacterized LOC102723659","GeneID:102723659","4",22345074,22346765,1692,"XR_427498","","LOC102723659",NA,TRUE
"GeneID:9473","THEMIS2","thymocyte selection associated family member 2","GeneID:9473","1",27872543,27886685,14143,"NM_001105556","NP_001099026","THEMIS2","1",TRUE
"GeneID:391123","VSIG8","V-set and immunoglobulin domain containing 8","GeneID:391123","1",159854316,159862657,8342,"NM_001013661","NP_001013683","VSIG8","1",FALSE
"GeneID:9811","CTIF","CBP80/20-dependent translation initiation factor","GeneID:9811","18",48539056,48863217,324162,"NM_001142397","NP_001135869","CTIF","18",FALSE
"GeneID:147525","LINC00526","long intergenic non-protein coding RNA 526","GeneID:147525","18",5236724,5238029,1306,"NR_026849","","LINC00526","18",TRUE
"GeneID:338817","LINC01252","long intergenic non-protein coding RNA 1252","GeneID:338817","12",11548030,11564403,16374,"NR_033890","","LINC01252","12",TRUE
"GeneID:219874","OR6T1","olfactory receptor, family 6, subfamily T, member 1","GeneID:219874","11",123942867,123943838,972,"NM_001005187","NP_001005187","OR6T1","11",TRUE
"GeneID:3653","IPW","imprinted in Prader-Willi syndrome (non-protein coding)","GeneID:3653","15",25116545,25122476,5932,"NR_023915","","IPW","15",TRUE
"GeneID:221120","ALKBH3","alkB, alkylation repair homolog 3 (E. coli)","GeneID:221120","11",43880807,43920275,39469,"NM_139178","NP_631917","ALKBH3","11",FALSE
"GeneID:102723329","LOC102723329","uncharacterized LOC102723329","GeneID:102723329","2",216870424,216873932,3509,"XR_427228","","LOC102723329",NA,FALSE
"GeneID:100616419","MIR4434","microRNA 4434","GeneID:100616419","2",64525513,64525565,53,"NR_039633","","MIR4434","2",TRUE
"GeneID:440311","LOC440311","glioma tumor suppressor candidate region gene 2 pseudogene","GeneID:440311","15",94855363,94857066,1704,"NR_077061","","LOC440311","15",TRUE
"GeneID:220136","CCDC11","cilia and flagella associated protein 53","GeneID:220136","18",50227193,50266495,39303,"NM_145020","NP_659457","CCDC11","18",TRUE
"GeneID:100528022","BLOC1S1-RDH5","BLOC1S1-RDH5 readthrough","GeneID:100528022","12",55716034,55724742,8709,"NR_037658","","BLOC1S1-RDH5","12",TRUE
"GeneID:64426","SUDS3","suppressor of defective silencing 3 homolog (S. cerevisiae)","GeneID:64426","12",118376553,118418035,41483,"NM_022491","NP_071936","SUDS3","12",FALSE
"GeneID:114044","MCM3AP-AS1","MCM3AP antisense RNA 1","GeneID:114044","21",46229231,46251701,22471,"NR_110565","","MCM3AP-AS1","21",TRUE
"GeneID:574502","MIR500A","microRNA 500a","GeneID:574502","X",50008431,50008514,84,"NR_030224","","MIR500A","X",FALSE
"GeneID:378925","RNF148","ring finger protein 148","GeneID:378925","7",122701666,122702967,1302,"NM_198085","NP_932351","RNF148","7",TRUE
"GeneID:54932","EXD3","exonuclease 3'-5' domain containing 3","GeneID:54932","9",137306894,137423262,116369,"NM_017820","NP_060290","EXD3","9",FALSE
"GeneID:2176","FANCC","Fanconi anemia, complementation group C","GeneID:2176","9",95099054,95317709,218656,"NM_000136","NP_000127","FANCC","9",TRUE
"GeneID:124997","WDR81","WD repeat domain 81","GeneID:124997","17",1724831,1738599,13769,"NM_001163809","NP_001157281","WDR81","17",TRUE
"GeneID:57486","NLN","neurolysin (metallopeptidase M3 family)","GeneID:57486","5",65722196,65829283,107088,"NM_020726","NP_065777","NLN","5",TRUE
"GeneID:2064","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2","GeneID:2064","17",39700001,39728662,28662,"NM_004448","NP_004439","ERBB2","17",FALSE
"GeneID:340542","BEX5","brain expressed, X-linked 5","GeneID:340542","X",102153707,102156014,2308,"NM_001012978","NP_001012996","BEX5","X",TRUE
"GeneID:10150","MBNL2","muscleblind-like splicing regulator 2","GeneID:10150","13",97222296,97394120,171825,"NM_144778","NP_659002","MBNL2","13",FALSE
"GeneID:10634","GAS2L1","growth arrest-specific 2 like 1","GeneID:10634","22",29306995,29312789,5795,"NM_006478","NP_006469","GAS2L1","22",FALSE
"GeneID:25898","RCHY1","ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase","GeneID:25898","4",75479037,75514430,35394,"NM_015436","NP_056251","RCHY1","4",TRUE
"GeneID:126014","OSCAR","","GeneID:126014","19",54094668,54102686,8019,"NM_001282349","NP_001269278","OSCAR","19",FALSE
"GeneID:390561","HERC2P10","","GeneID:390561","15",30818036,30827783,9748,"NR_072991","","HERC2P10","15",TRUE
"GeneID:100616136","MIR4430","microRNA 4430","GeneID:100616136","2",33418516,33418564,49,"NR_039628","","MIR4430","2",TRUE
"GeneID:8811","GALR2","galanin receptor 2","GeneID:8811","17",76074801,76077541,2741,"NM_003857","NP_003848","GALR2","17",FALSE
"GeneID:100144748","KLLN","killin, p53-regulated DNA replication inhibitor","GeneID:100144748","10",87859161,87863437,4277,"NM_001126049","NP_001119521","KLLN","10",TRUE
"GeneID:693135","MIR551A","microRNA 551a","GeneID:693135","1",3560695,3560790,96,"NR_030277","","MIR551A","1",TRUE
"GeneID:4250","SCGB2A2","secretoglobin, family 2A, member 2","GeneID:4250","11",62270155,62273160,3006,"NM_002411","NP_002402","SCGB2A2","11",TRUE
"GeneID:10903","MTMR11","myotubularin related protein 11","GeneID:10903","1",149928651,149936898,8248,"NM_001145862","NP_001139334","MTMR11","1",TRUE
"GeneID:56649","TMPRSS4","transmembrane protease, serine 4","GeneID:56649","11",118077012,118119843,42832,"NM_019894","NP_063947","TMPRSS4","11",TRUE
"GeneID:440561","PRAMEF6","PRAME family member 6","GeneID:440561","1",12938472,12947580,9109,"NM_001010889","NP_001010889","PRAMEF6","1",TRUE
"GeneID:958","CD40","CD40 molecule, TNF receptor superfamily member 5","GeneID:958","20",46118267,46129745,11479,"NM_001250","NP_001241","CD40","20",FALSE
"GeneID:101927271","LOC101927271","uncharacterized LOC101927271","GeneID:101927271","2",101188062,101191467,3406,"XR_427145","","LOC101927271",NA,TRUE
"GeneID:79092","CARD14","caspase recruitment domain family, member 14","GeneID:79092","17",80178508,80209331,30824,"NM_024110","NP_077015","CARD14","17",TRUE
"GeneID:646670","LOC646670","COMM domain-containing protein 4-like","GeneID:646670","15",72628766,72640193,11428,"XM_006720816","XP_006720879","LOC646670","15",FALSE
"GeneID:653513","LOC653513","phosphodiesterase 4D interacting protein pseudogene","GeneID:653513","1",149197559,149201146,3588,"NR_037182","","LOC653513","1",FALSE
"GeneID:677837","SNORA60","small nucleolar RNA, H/ACA box 60","GeneID:677837","20",38449369,38449504,136,"NR_002986","","SNORA60","20",TRUE
"GeneID:55795","PCID2","PCI domain containing 2","GeneID:55795","13",113177539,113208715,31177,"NM_001127202","NP_001120674","PCID2","13",TRUE
"GeneID:93349","SP140L","SP140 nuclear body protein-like","GeneID:93349","2",230327179,230403730,76552,"NM_138402","NP_612411","SP140L","2",FALSE
